id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
8218782,Spacious Eng basemnt apt near Metro,42456081,Patricia,,"North Cleveland Park, Forest Hills, Van Ness",38.9468,-77.06696,Entire home/apt,79,2,67,2024-06-19,0.68,1,61,20,Hosted License: 5007242201003121
8309843,"Safe location, for interns, students, tourists",43811269,Andrew,,"West End, Foggy Bottom, GWU",38.89554,-77.04482,Entire home/apt,125,59,168,2020-08-22,1.58,1,328,0,
8339618,Private Oasis Studio Apartment,12843663,Quo,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91861,-76.9999,Entire home/apt,74,2,48,2024-05-29,0.49,1,238,13,Hosted License: 5007242201001096
8347485,Capitol Hill hideaway,40308811,Marilyn,,"Capitol Hill, Lincoln Park",38.89182,-76.99503,Private room,70,31,45,2024-05-04,0.42,1,277,2,
8353034,A fabulous basement studio in my house!,44025619,Clifford,,"Takoma, Brightwood, Manor Park",38.98309,-77.02493,Private room,80,1,770,2024-06-13,7.23,1,83,89,Hosted License: 5007242201001036
8363399,Comfortable. Tidy. Accessible. Dupont 1BR.,184501754,Sharms,,"Dupont Circle, Connecticut Avenue/K Street",38.90846,-77.04762,Entire home/apt,151,2,371,2024-06-03,3.53,1,114,31,Hosted License: 5007242201001652
8381345,Large Bright Room & Private Bath - plus a house!,44167924,Emily,,"North Michigan Park, Michigan Park, University Heights",38.95271,-76.98901,Private room,,21,4,2023-11-19,0.04,1,337,2,Hosted License: 5007242201000139
8404345,Good Night 1 Bdrm w/ 2 Queen Beds,41656215,Chiazo,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92937,-77.02979,Entire home/apt,,2,46,2024-05-28,0.44,1,299,10,Hosted License: 5007242201001533
8409891,"2BR Mid-century gem, walk 2 metro, cnvcntr & sites",9296587,Josh,,"Shaw, Logan Circle",38.91067,-77.0191,Entire home/apt,134,31,110,2024-03-16,1.03,3,46,1,
8479494,Spacious Gathering Home-Family or Business Retreat,44658525,Shanti,,"Cathedral Heights, McLean Gardens, Glover Park",38.92378,-77.0736,Entire home/apt,,2,94,2024-06-09,0.89,1,310,18,Hosted License: 5007242201001920<br />Unhosted License: 5007262201001921
